Inek_ID,Irk,Yas,Agirlik_kg,Dogum_Sayisi,Laktasyon_Asamasi,Ureme_Durumu,Yem_Tipi,Yem_Miktari_kg_gun,Yemleme_Sikligi,Su_Tuketimi_L_gun,Walking_Distance(km/day),Grazing_Duration(hrs/day),Rumination_Time(hrs/day),Resting_Hours(hrs/day),Vucut_Sicakligi_C,Nabiz_bpm,Asi_Durumu,Gecmis_Hastaliklar,Saglik_Uyarilari,Ortam_Sicakligi_C,Nem_Yuzde,Mevsim,Barinak_Kosullari,Sut_Verimi_L_gun
COW_0001,Jersey,9,588,6,Mid,Pregnant,Concentrate,23.0,2,38,2.57,2.9,4.6,6.2,37.6,80,Yes,FMD,Low Activity,23.2,42,Monsoon,Moderate,16.2
COW_0002,Sahiwal,9,373,4,Mid,Inseminated,Green Fodder,14.2,4,59,3.37,3.5,7.0,11.1,39.4,51,No,Digestive Disorder,Normal,17.6,41,Monsoon,Moderate,5.4
COW_0003,Jersey,4,583,3,Late,Inseminated,Green Fodder,21.3,2,50,1.97,2.2,7.5,11.8,37.8,72,No,Digestive Disorder,High Temp,32.2,44,Monsoon,Poor,12.5
COW_0004,Sahiwal,8,493,4,Late,Inseminated,Concentrate,10.4,3,33,4.41,6.9,5.0,9.2,38.4,60,Yes,FMD,Normal,37.7,70,Winter,Poor,19.0
COW_0005,Jersey,6,474,4,Mid,Open,Concentrate,12.7,3,57,3.24,4.6,6.0,11.3,39.0,44,No,None,Low Activity,30.1,49,Summer,Moderate,15.8
COW_0006,Holstein,10,552,2,Late,Pregnant,Dry Fodder,21.4,2,49,2.41,6.4,6.1,7.2,39.2,40,Yes,Mastitis,Normal,30.6,38,Winter,Moderate,14.3
COW_0007,Sahiwal,8,403,6,Late,Inseminated,Dry Fodder,12.8,3,47,3.12,6.4,7.1,11.6,38.0,74,No,None,Normal,38.9,69,Monsoon,Poor,11.7
COW_0008,Holstein,8,387,6,Early,Inseminated,Concentrate,10.1,2,57,2.73,4.3,7.2,9.6,37.6,68,Yes,None,Normal,34.7,30,Summer,Moderate,17.0
COW_0009,Jersey,7,529,4,Late,Pregnant,Dry Fodder,20.8,4,70,4.55,5.4,7.1,11.8,37.9,42,Yes,FMD,Normal,31.1,53,Summer,Clean,12.4
COW_0010,Gir,2,372,1,Mid,Pregnant,Concentrate,19.2,4,56,2.29,6.9,5.1,8.5,37.9,67,Yes,FMD,Normal,19.6,84,Winter,Moderate,14.6
COW_0011,Sahiwal,6,355,5,Early,Pregnant,Green Fodder,15.5,3,55,3.5,7.4,6.5,8.4,39.1,52,Yes,Mastitis,Normal,19.8,58,Summer,Clean,14.9
COW_0012,Holstein,2,327,1,Dry,Inseminated,Dry Fodder,16.0,4,56,3.45,2.3,6.7,11.4,38.6,57,Yes,Mastitis,Normal,17.9,86,Monsoon,Clean,9.7
COW_0013,Jersey,5,432,4,Early,Inseminated,Green Fodder,17.9,4,48,2.91,3.8,6.2,6.5,38.6,75,No,Mastitis,Low Activity,34.1,42,Winter,Moderate,15.2
COW_0014,Holstein,4,546,2,Late,Open,Green Fodder,24.5,4,33,1.07,5.3,5.0,7.3,38.4,74,Yes,FMD,Normal,23.9,86,Monsoon,Poor,14.6
COW_0015,Gir,3,403,3,Dry,Open,Green Fodder,14.6,3,53,3.75,4.9,4.2,9.0,39.3,74,Yes,Mastitis,High Temp,19.8,77,Summer,Clean,7.0
COW_0016,Sahiwal,8,563,2,Early,Pregnant,Dry Fodder,25.0,4,52,4.28,3.2,5.2,7.2,37.5,73,No,Mastitis,Low Activity,17.1,63,Summer,Poor,16.1
COW_0017,Jersey,5,492,6,Early,Pregnant,Green Fodder,15.3,2,57,1.57,4.3,5.3,10.6,38.5,57,Yes,None,Normal,20.3,43,Summer,Clean,13.2
COW_0018,Jersey,4,518,6,Late,Open,Concentrate,17.8,3,32,4.34,3.8,8.6,7.6,38.5,79,No,None,Normal,29.8,89,Monsoon,Clean,17.4
COW_0019,Gir,5,322,6,Early,Inseminated,Dry Fodder,24.8,4,40,1.66,5.3,9.3,9.1,39.2,76,Yes,Digestive Disorder,Low Activity,35.0,56,Winter,Moderate,7.0
COW_0020,Holstein,8,453,4,Mid,Inseminated,Dry Fodder,18.5,3,59,1.89,7.1,6.0,11.3,37.9,52,Yes,FMD,Low Activity,39.3,42,Monsoon,Moderate,15.3
COW_0021,Jersey,8,451,2,Early,Inseminated,Green Fodder,16.4,3,41,3.74,6.8,9.7,6.9,37.7,48,No,FMD,Low Activity,32.3,58,Winter,Moderate,18.8
COW_0022,Gir,10,471,2,Early,Inseminated,Concentrate,18.1,2,37,3.2,3.7,8.3,8.2,38.3,80,No,Mastitis,Low Activity,30.7,89,Summer,Moderate,14.2
